"","Species","Class","Order","Suborder","Family","Genus","Accession","Level"
"2450","Saturnia japonica","Insecta","Lepidoptera","Glossata","Saturniidae","Saturnia","GCA_033032175.1","Chromosome"
"2451","Saturnia pavonia","Insecta","Lepidoptera","Glossata","Saturniidae","Saturnia","GCA_947532125.1","Chromosome"
"2452","Scaeva pyrastri","Insecta","Diptera","Brachycera","Syrphidae","Scaeva","GCA_905146935.1","Chromosome"
"2453","Scaptodrosophila lebanonensis","Insecta","Diptera","Brachycera","Drosophilidae","Scaptodrosophila","GCA_003285725.1","Contig"
"2454","Scaptodrosophila scaptomyzoidea","Insecta","Diptera","Brachycera","Drosophilidae","Scaptodrosophila","GCA_035078625.1","Scaffold"
"2455","Scaptomyza caliginosa","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_035044725.1","Contig"
"2456","Scaptomyza cyrtandrae","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_035044605.1","Contig"
"2457","Scaptomyza flava","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_003952975.1","Scaffold"
"2458","Scaptomyza graminum","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_018901835.1","Contig"
"2459","Scaptomyza hsui","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_018152825.1","Contig"
"2460","Scaptomyza montana","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_018904305.1","Contig"
"2461","Scaptomyza pallida","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_018152965.1","Contig"
"2462","Scaptomyza parva","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_035044645.1","Contig"
"2463","Scaptomyza polygonia","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_035044585.1","Contig"
"2464","Scaptomyza reducta","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_035044485.1","Contig"
"2465","Scaptomyza tumidula","Insecta","Diptera","Brachycera","Drosophilidae","Scaptomyza","GCA_035044465.1","Contig"
"2466","Scelio sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Scelio","GCA_022816985.1","Scaffold"
"2467","Sceliomorpha sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Sceliomorpha","GCA_022817025.1","Scaffold"
"2468","Scelioninae gen. 1 sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae",NA,"GCA_022817745.1","Scaffold"
"2469","Scelioninae gen. 2 sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae",NA,"GCA_022817585.1","Scaffold"
"2470","Sceptobius lativentris","Insecta","Coleoptera","Polyphaga","Staphylinidae","Sceptobius","GCA_913698155.1","Contig"
"2471","Schistocerca americana","Insecta","Orthoptera","Caelifera","Acrididae","Schistocerca","GCA_021461395.1","Chromosome"
"2472","Schistocerca cancellata","Insecta","Orthoptera","Caelifera","Acrididae","Schistocerca","GCF_023864275.1","Chromosome"
"2473","Schistocerca gregaria","Insecta","Orthoptera","Caelifera","Acrididae","Schistocerca","GCF_023897955.1","Chromosome"
"2474","Schistocerca nitens","Insecta","Orthoptera","Caelifera","Acrididae","Schistocerca","GCA_023898315.1","Chromosome"
"2475","Schistocerca piceifrons","Insecta","Orthoptera","Caelifera","Acrididae","Schistocerca","GCA_021461385.1","Chromosome"
"2476","Schistocerca serialis","Insecta","Orthoptera","Caelifera","Acrididae","Schistocerca","GCA_023864345.1","Chromosome"
"2477","Schizaphis graminum","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Schizaphis","GCA_020882235.1","Chromosome"
"2478","Schizotus pectinicornis","Insecta","Coleoptera","Polyphaga","Pyrochroidae","Schizotus","GCA_951805265.1","Chromosome"
"2479","Schlechtendalia chinensis","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Schlechtendalia","GCA_019022885.1","Chromosome"
"2480","Schrankia costaestrigalis","Insecta","Lepidoptera","Glossata","Erebidae","Schrankia","GCA_905475405.1","Chromosome"
"2481","Scirpophaga incertulas","Insecta","Lepidoptera","Glossata","Crambidae","Scirpophaga","GCA_020086525.1","Scaffold"
"2482","Scoparia ambigualis","Insecta","Lepidoptera","Glossata","Crambidae","Scoparia","GCA_963921215.1","Chromosome"
"2483","Scotopteryx bipunctaria","Insecta","Lepidoptera","Glossata","Geometridae","Scotopteryx","GCA_949320045.1","Chromosome"
"2484","Scrobipalpa atriplicella","Insecta","Lepidoptera","Glossata","Gelechiidae","Scrobipalpa","GCA_029255725.1","Contig"
"2485","Scrobipalpa costella","Insecta","Lepidoptera","Glossata","Gelechiidae","Scrobipalpa","GCA_949820665.1","Chromosome"
"2486","Seladonia tumulorum","Insecta","Hymenoptera","Apocrita","Halictidae","Seladonia","GCA_913789895.1","Chromosome"
"2487","Selenia dentaria","Insecta","Lepidoptera","Glossata","Geometridae","Selenia","GCA_917880725.1","Chromosome"
"2488","Sepedophilus sp. GC000190","Insecta","Coleoptera","Polyphaga","Staphylinidae","Sepedophilus","GCA_030264515.1","Scaffold"
"2489","Sericinus montela","Insecta","Lepidoptera","Glossata","Papilionidae","Sericinus","GCA_018249675.1","Contig"
"2490","Sericostoma sp. HW-2014","Insecta","Trichoptera","Integripalpia","Sericostomatidae","Sericostoma","GCA_913698145.1","Contig"
"2491","Sertania guttata","Insecta","Lepidoptera","Glossata","Riodinidae","Sertania","GCA_018236385.1","Contig"
"2492","Sesamia inferens","Insecta","Lepidoptera","Glossata","Noctuidae","Sesamia","GCA_035079275.1","Chromosome"
"2493","Sesamia nonagrioides","Insecta","Lepidoptera","Glossata","Noctuidae","Sesamia","GCA_017933935.1","Scaffold"
"2494","Sesia apiformis","Insecta","Lepidoptera","Glossata","Sesiidae","Sesia","GCA_914767545.1","Chromosome"
"2495","Sesia bembeciformis","Insecta","Lepidoptera","Glossata","Sesiidae","Sesia","GCA_943735995.1","Chromosome"
"2496","Shargacucullia verbasci","Insecta","Lepidoptera","Glossata","Noctuidae","Shargacucullia","GCA_947562105.1","Chromosome"
"2497","Sialis fuliginosa","Insecta","Megaloptera",NA,"Sialidae","Sialis","GCA_961205875.1","Chromosome"
"2498","Sialis lutaria","Insecta","Megaloptera",NA,"Sialidae","Sialis","GCA_949319165.1","Chromosome"
"2499","Sicus ferrugineus","Insecta","Diptera","Brachycera","Conopidae","Sicus","GCA_922984085.1","Chromosome"
"2500","Signeta flammeata","Insecta","Lepidoptera","Glossata","Hesperiidae","Signeta","GCA_018250915.1","Contig"
"2501","Silvatares holzenthali","Insecta","Trichoptera","Integripalpia","Pisuliidae","Silvatares","GCA_026537445.1","Scaffold"
"2502","Sipha flava","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Sipha","GCF_003268045.1","Scaffold"
"2503","Sipha maydis","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Sipha","GCA_034509805.1","Contig"
"2504","Siphlonurus alternatus","Insecta","Ephemeroptera","Pisciforma","Siphlonuridae","Siphlonurus","GCA_949825025.1","Chromosome"
"2505","Sisyra nigra","Insecta","Neuroptera","Hemerobiiformia","Sisyridae","Sisyra","GCA_958496155.1","Chromosome"
"2506","Sisyra terminalis","Insecta","Neuroptera","Hemerobiiformia","Sisyridae","Sisyra","GCA_958496175.1","Chromosome"
"2507","Sitobion avenae","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Sitobion","GCA_022419445.1","Contig"
"2508","Sitobion miscanthi","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Sitobion","GCA_008086715.1","Chromosome"
"2509","Sitodiplosis mosellana","Insecta","Diptera","Nematocera","Cecidomyiidae","Sitodiplosis","GCA_021018905.1","Chromosome"
"2510","Sitophilus oryzae","Insecta","Coleoptera","Polyphaga","Curculionidae","Sitophilus","GCF_002938485.1","Scaffold"
"2511","Slavum lentiscoides","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Slavum","GCA_032441835.1","Chromosome"
"2512","Smittia aterrima","Insecta","Diptera","Nematocera","Chironomidae","Smittia","GCA_033063855.1","Chromosome"
"2513","Smittia sp. YW1114-2","Insecta","Diptera","Nematocera","Chironomidae","Smittia","GCA_033064975.1","Chromosome"
"2514","Sogatella furcifera","Insecta","Hemiptera","Auchenorrhyncha","Delphacidae","Sogatella","GCA_034513635.1","Chromosome"
"2515","Solenopsis fugax","Insecta","Hymenoptera","Apocrita","Formicidae","Solenopsis","GCA_003595255.1","Scaffold"
"2516","Solenopsis invicta","Insecta","Hymenoptera","Apocrita","Formicidae","Solenopsis","GCF_016802725.1","Chromosome"
"2517","Sostrata bifasciata","Insecta","Lepidoptera","Glossata","Hesperiidae","Sostrata","GCA_018250835.1","Contig"
"2518","Sparasion cullaris","Insecta","Hymenoptera","Apocrita","Scelionidae","Sparasion","GCA_022817005.1","Scaffold"
"2519","Spathilepia clonius","Insecta","Lepidoptera","Glossata","Hesperiidae","Spathilepia","GCA_018250295.1","Contig"
"2520","Sperchopsis tessellata","Insecta","Coleoptera","Polyphaga","Hydrophilidae","Sperchopsis","GCA_033557685.1","Contig"
"2521","Sphaerophoria rueppellii","Insecta","Diptera","Brachycera","Syrphidae","Sphaerophoria","GCA_920937365.1","Scaffold"
"2522","Sphaerophoria taeniata","Insecta","Diptera","Brachycera","Syrphidae","Sphaerophoria","GCA_943590905.1","Chromosome"
"2523","Sphecodes monilicornis","Insecta","Hymenoptera","Apocrita","Halictidae","Sphecodes","GCA_913789915.2","Chromosome"
"2524","Sphenella marginata","Insecta","Diptera","Brachycera","Tephritidae","Sphenella","GCA_951509765.1","Chromosome"
"2525","Sphinx pinastri","Insecta","Lepidoptera","Glossata","Sphingidae","Sphinx","GCA_947568825.1","Chromosome"
"2526","Sphyracephala brevicornis","Insecta","Diptera","Brachycera","Diopsidae","Sphyracephala","GCA_001015235.1","Scaffold"
"2527","Spialia ali","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018231985.1","Contig"
"2528","Spialia carnea","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018231825.1","Contig"
"2529","Spialia doris","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018231965.1","Contig"
"2530","Spialia ferax","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018230705.1","Contig"
"2531","Spialia galba","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018252235.1","Contig"
"2532","Spialia geron","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018231945.1","Contig"
"2533","Spialia lugens","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018230645.1","Contig"
"2534","Spialia mafa","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018231185.1","Contig"
"2535","Spialia orbifer","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018248375.1","Contig"
"2536","Spialia osthelderi","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018231285.1","Contig"
"2537","Spialia phlomidis","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018232305.1","Contig"
"2538","Spialia sertorius","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018232345.1","Contig"
"2539","Spialia spio","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018231125.1","Contig"
"2540","Spialia struvei","Insecta","Lepidoptera","Glossata","Hesperiidae","Spialia","GCA_018230985.1","Contig"
"2541","Spilarctia lutea","Insecta","Lepidoptera","Glossata","Erebidae","Spilarctia","GCA_916048165.1","Chromosome"
"2542","Spilosoma lubricipeda","Insecta","Lepidoptera","Glossata","Erebidae","Spilosoma","GCA_905220595.1","Chromosome"
"2543","Spioniades abbreviata","Insecta","Lepidoptera","Glossata","Hesperiidae","Spioniades","GCA_018251615.1","Contig"
"2544","Spodoptera exigua","Insecta","Lepidoptera","Glossata","Noctuidae","Spodoptera","GCA_902829305.4","Chromosome"
"2545","Spodoptera frugiperda","Insecta","Lepidoptera","Glossata","Noctuidae","Spodoptera","GCF_023101765.2","Chromosome"
"2546","Spodoptera littoralis","Insecta","Lepidoptera","Glossata","Noctuidae","Spodoptera","GCA_902850265.1","Chromosome"
"2547","Spodoptera litura","Insecta","Lepidoptera","Glossata","Noctuidae","Spodoptera","GCF_002706865.2","Chromosome"
"2548","Stalachtis halloweeni","Insecta","Lepidoptera","Glossata","Riodinidae","Stalachtis","GCA_018252335.1","Contig"
"2549","Stegophylla sp. TES_Ste_2020","Insecta","Hemiptera","Sternorrhyncha","Aphididae","Stegophylla","GCA_025469315.1","Scaffold"
"2550","Stelis phaeoptera","Insecta","Hymenoptera","Apocrita","Megachilidae","Stelis","GCA_943735885.1","Chromosome"
"2551","Stenchaetothrips biformis","Insecta","Thysanoptera","Terebrantia","Thripidae","Stenchaetothrips","GCA_030522485.1","Chromosome"
"2552","Stenodema calcarata","Insecta","Hemiptera","Heteroptera","Miridae","Stenodema","GCA_963920205.1","Chromosome"
"2553","Stenolophus ochropezus","Insecta","Coleoptera","Adephaga","Carabidae","Stenolophus","GCA_035578165.1","Scaffold"
"2554","Stenopsyche tienmushanensis","Insecta","Trichoptera","Annulipalpia","Stenopsychidae","Stenopsyche","GCA_008973525.1","Contig"
"2555","Stenoptilia bipunctidactyla","Insecta","Lepidoptera","Glossata","Pterophoridae","Stenoptilia","GCA_944452665.1","Chromosome"
"2556","Stenurella melanura","Insecta","Coleoptera","Polyphaga","Cerambycidae","Stenurella","GCA_963583905.1","Chromosome"
"2557","Stictocephala bisonia","Insecta","Hemiptera","Auchenorrhyncha","Membracidae","Stictocephala","GCA_035578905.1","Scaffold"
"2558","Stiretrus anchorago","Insecta","Hemiptera","Heteroptera","Pentatomidae","Stiretrus","GCA_913697995.1","Contig"
"2559","Stomorhina lunata","Insecta","Diptera","Brachycera","Rhiniidae","Stomorhina","GCA_933228675.1","Chromosome"
"2560","Stomoxys calcitrans","Insecta","Diptera","Brachycera","Muscidae","Stomoxys","GCF_963082655.1","Chromosome"
"2561","Stratiomys singularior","Insecta","Diptera","Brachycera","Stratiomyidae","Stratiomys","GCA_954870665.1","Chromosome"
"2562","Sturmia bella","Insecta","Diptera","Brachycera","Tachinidae","Sturmia","GCA_963662145.1","Chromosome"
"2563","Styx infernalis","Insecta","Lepidoptera","Glossata","Riodinidae","Styx","GCA_018237865.1","Contig"
"2564","Subacronicta megacephala","Insecta","Lepidoptera","Glossata","Noctuidae","Subacronicta","GCA_958496365.1","Chromosome"
"2565","Suillia variegata","Insecta","Diptera","Brachycera","Heleomyzidae","Suillia","GCA_949127995.1","Chromosome"
"2566","Sweltsa coloradensis","Insecta","Plecoptera",NA,"Chloroperlidae","Sweltsa","GCA_024449915.1","Contig"
"2567","Sycobia sp. Sy_11","Insecta","Hymenoptera","Apocrita","Pteromalidae","Sycobia","GCA_018907035.1","Contig"
"2568","Sycophaga agraensis","Insecta","Hymenoptera","Apocrita","Agaonidae","Sycophaga","GCA_018906755.1","Contig"
"2569","Sycophila quercilanae","Insecta","Hymenoptera","Apocrita","Eurytomidae","Sycophila","GCA_035582995.1","Scaffold"
"2570","Sycophila sp. Sp_5","Insecta","Hymenoptera","Apocrita","Eurytomidae","Sycophila","GCA_018906775.1","Contig"
"2571","Sycophila texana","Insecta","Hymenoptera","Apocrita","Eurytomidae","Sycophila","GCA_035582955.1","Scaffold"
"2572","Sylvicola cinctus","Insecta","Diptera","Nematocera","Anisopodidae","Sylvicola","GCA_963854165.1","Chromosome"
"2573","Sylvicola fuscatus","Insecta","Diptera","Nematocera","Anisopodidae","Sylvicola","GCA_026546915.1","Scaffold"
"2574","Symmachia rubina","Insecta","Lepidoptera","Glossata","Riodinidae","Symmachia","GCA_018237705.1","Contig"
"2575","Symmerus nobilis","Insecta","Diptera","Nematocera","Mycetophilidae","Symmerus","GCA_027564815.1","Scaffold"
"2576","Sympetrum striolatum","Insecta","Odonata","Epiprocta","Libellulidae","Sympetrum","GCA_947579665.1","Chromosome"
"2577","Synanthedon andrenaeformis","Insecta","Lepidoptera","Glossata","Sesiidae","Synanthedon","GCA_936446665.1","Chromosome"
"2578","Synanthedon formicaeformis","Insecta","Lepidoptera","Glossata","Sesiidae","Synanthedon","GCA_945859745.1","Chromosome"
"2579","Synanthedon myopaeformis","Insecta","Lepidoptera","Glossata","Sesiidae","Synanthedon","GCA_944738685.1","Chromosome"
"2580","Synanthedon tipuliformis","Insecta","Lepidoptera","Glossata","Sesiidae","Synanthedon","GCA_947623395.1","Chromosome"
"2581","Synanthedon vespiformis","Insecta","Lepidoptera","Glossata","Sesiidae","Synanthedon","GCA_918317495.1","Chromosome"
"2582","Synergus coniferae","Insecta","Hymenoptera","Apocrita","Cynipidae","Synergus","GCA_032164275.1","Scaffold"
"2583","Synergus gifuensis","Insecta","Hymenoptera","Apocrita","Cynipidae","Synergus","GCA_904066015.1","Scaffold"
"2584","Synergus itoensis","Insecta","Hymenoptera","Apocrita","Cynipidae","Synergus","GCA_904066005.1","Scaffold"
"2585","Synergus japonicus","Insecta","Hymenoptera","Apocrita","Cynipidae","Synergus","GCA_900474275.1","Scaffold"
"2586","Synergus laeviventris","Insecta","Hymenoptera","Apocrita","Cynipidae","Synergus","GCA_032275145.1","Scaffold"
"2587","Synergus magnus","Insecta","Hymenoptera","Apocrita","Cynipidae","Synergus","GCA_032275165.1","Scaffold"
"2588","Synergus umbraculus","Insecta","Hymenoptera","Apocrita","Cynipidae","Synergus","GCA_900474325.1","Scaffold"
"2589","Syrista parreyssii","Insecta","Hymenoptera",NA,"Cephidae","Syrista","GCA_030142615.1","Scaffold"
"2590","Syritta pipiens","Insecta","Diptera","Brachycera","Syrphidae","Syritta","GCA_905187475.1","Chromosome"
"2591","Syrphus vitripennis","Insecta","Diptera","Brachycera","Syrphidae","Syrphus","GCA_958431115.1","Chromosome"
"2592","Tachina fera","Insecta","Diptera","Brachycera","Tachinidae","Tachina","GCA_905220375.1","Chromosome"
"2593","Tachina grossa","Insecta","Diptera","Brachycera","Tachinidae","Tachina","GCA_949987645.1","Chromosome"
"2594","Tachina lurida","Insecta","Diptera","Brachycera","Tachinidae","Tachina","GCA_944452675.1","Chromosome"
"2595","Tachinus sp. AB-2021","Insecta","Coleoptera","Polyphaga","Staphylinidae","Tachinus","GCA_030264575.1","Scaffold"
"2596","Tachystola acroxantha","Insecta","Lepidoptera","Glossata","Oecophoridae","Tachystola","GCA_963506565.1","Chromosome"
"2597","Taenaris catops","Insecta","Lepidoptera","Glossata","Nymphalidae","Taenaris","GCA_018230465.1","Contig"
"2598","Tagiades gana","Insecta","Lepidoptera","Glossata","Hesperiidae","Tagiades","GCA_018239485.1","Contig"
"2599","Tagiades litigiosa","Insecta","Lepidoptera","Glossata","Hesperiidae","Tagiades","GCA_018248735.1","Contig"
"2600","Tanaodytes sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Tanaodytes","GCA_022816965.1","Scaffold"
"2601","Tanypteryx hageni","Insecta","Odonata","Epiprocta","Petaluridae","Tanypteryx","GCA_028673005.1","Chromosome"
"2602","Taphrorychus bicolor","Insecta","Coleoptera","Polyphaga","Curculionidae","Taphrorychus","GCA_951812265.1","Chromosome"
"2603","Taractrocera maevius","Insecta","Lepidoptera","Glossata","Hesperiidae","Taractrocera","GCA_018250575.1","Contig"
"2604","Teinopalpus imperialis","Insecta","Lepidoptera","Glossata","Papilionidae","Teinopalpus","GCA_018246355.1","Contig"
"2605","Telegonus anausis","Insecta","Lepidoptera","Glossata","Hesperiidae","Telegonus","GCA_018250715.1","Contig"
"2606","Telegonus azul","Insecta","Lepidoptera","Glossata","Hesperiidae","Telegonus","GCA_018251955.1","Contig"
"2607","Telegonus chalco","Insecta","Lepidoptera","Glossata","Hesperiidae","Telegonus","GCA_022318325.1","Contig"
"2608","Telegonus hyster","Insecta","Lepidoptera","Glossata","Hesperiidae","Telegonus","GCA_018248495.1","Contig"
"2609","Teleiodes luculella","Insecta","Lepidoptera","Glossata","Gelechiidae","Teleiodes","GCA_948473455.1","Chromosome"
"2610","Telemiades fides","Insecta","Lepidoptera","Glossata","Hesperiidae","Telemiades","GCA_018248355.1","Contig"
"2611","Telenomus remus","Insecta","Hymenoptera","Apocrita","Scelionidae","Telenomus","GCA_020615435.1","Chromosome"
